campaign_id,customer_id,product,channel,subject,message,campaign_date
1,1,Diamond Ring,Email,"A Sparkling Diamond Awaits You","Discover our exclusive diamond ring collection crafted for your elegant style.",2026-05-01
2,1,Pearl Necklace,SMS,"Complete Your Jewelry Collection","Add timeless beauty to your collection with our pearl necklace selection.",2026-05-20
3,2,Discount Ring,Email,"Special Offer Just For You","Enjoy a limited-time discount on our stylish rings designed for everyday elegance.",2026-05-05
4,2,Silver Bracelet,Social Media,"Upgrade Your Everyday Style","Explore our affordable silver bracelets made for modern fashion lovers.",2026-05-25
5,3,Bridal Necklace Set,Email,"Your Perfect Wedding Look","Complete your special day with our premium bridal necklace collection.",2026-05-10
6,3,Wedding Earrings,SMS,"Elegant Earrings For Your Big Day","Discover wedding earrings designed to match your unforgettable moments.",2026-06-01
7,4,Luxury Watch,Email,"Time For Something Exceptional","Experience luxury craftsmanship with our premium watch collection.",2026-05-15
8,4,Diamond Bracelet,Social Media,"A Touch Of Luxury","Make a statement with our diamond bracelet collection.",2026-06-05
9,5,Gold Pendant,SMS,"A Golden Addition Awaits","Explore our beautiful gold pendants crafted for timeless elegance.",2026-05-18
10,5,Pearl Earrings,Email,"Elegant Pearls For Every Occasion","Find the perfect pearl earrings to complement your style.",2026-06-08
